code,player,pos,color,questionright,questionget,
RQZJ,afwan,0,,,,['']
4WMH,afwan,0,,,,['']
OTC9,afwan,53,green,,,
CLRI,afwan,100,green,,,
QNIU,afwan,38,teal,,,
QNIU,sara,0,blue,,,
DU0Y,afwan,11,green,,,
DU0Y,sara,3,teal,,,
HXL9,afwan,100,green,,,
HXL9,sara,59,teal,,,
VX8W,afwan,100,green,,,
VX8W,afwan2,92,yellow,,,
JUK6,afwan,100,green,,,
JUK6,afwan2,92,yellow,,,
REME,afwan,51,green,,,
REME,afwan2,74,blue,,,
XSA0,afwanns,0,green,,,
PM37,k,54,green,,,
22N0,el,12,purple,,,
0ENM,el,100,purple,,,
0ENM,afwan,47,teal,,,
YW8B,k,100,green,,,
YW8B,afwan,70,teal,,,
BWJS,saracantik,100,green,,,
BWJS,afwanencem,97,teal,,,
N8YI,Afwans,98,purple,,,
N8YI,saracomel,100,pink,,,
2JRP,syomel,86,Blue,,,
2JRP,afwan,100,black,,,
FG6C,Afwans,100,purple,,,
XV8A,test,0,green,,
MSFJ,afwan,0,green,,
2NOV,afwan,0,green,,
