id,topic,question,a1,a2,a3,a4,answer
1,biologi,Apakah fungsi utama sistem respirasi?,Menukar oksigen kepada karbon dioksida,Mengangkut nutrien ke seluruh badan,Mengawal suhu badan,Mengeluarkan bahan buangan,Menukar oksigen kepada karbon dioksida
2,biologi,Apakah nama proses di mana tumbuhan membuat makanan sendiri?,Fotosintesis,Respirasi,Pencernaan,Pembiakan,Fotosintesis
3,biologi,Apakah organ utama dalam sistem peredaran darah?,Paru-paru,Hati,Jantung,Otak,Jantung
4,biologi,Apakah fungsi klorofil dalam daun?,Menyerap air,Menyerap cahaya matahari,Menyerap karbon dioksida,Mengawal suhu,Menyerap cahaya matahari
5,biologi,Apakah nama proses di mana sel membahagi untuk menghasilkan sel baru?,Mitosis,Meiosis,Fotosintesis,Respirasi,Mitosis
6,biologi,Apakah fungsi utama sistem saraf?,Mengawal pergerakan badan,Mengawal semua aktiviti badan,Mengangkut darah,Mencerna makanan,Mengawal semua aktiviti badan
7,biologi,Apakah nama organ yang menapis darah dalam badan?,Hati,Ginjal,Paru-paru,Jantung,Ginjal
8,biologi,Apakah fungsi utama sistem pencernaan?,Mencerna makanan dan menyerap nutrien,Mengangkut oksigen,Mengawal suhu badan,Mengeluarkan hormon,Mencerna makanan dan menyerap nutrien
9,biologi,Apakah nama proses di mana tumbuhan menyerap air dari tanah?,Fotosintesis,Transpirasi,Osmosis,Respirasi,Osmosis
10,biologi,Apakah fungsi utama sistem imun?,Melindungi badan daripada penyakit,Mengangkut darah,Mencerna makanan,Mengawal pergerakan badan,Melindungi badan daripada penyakit
11,biologi,Apakah nama sel darah yang membawa oksigen?,Sel darah putih,Sel darah merah,Platelet,Plasma,Sel darah merah
12,biologi,Apakah fungsi utama sistem rangka?,Memberi bentuk dan sokongan kepada badan,Mengangkut darah,Mencerna makanan,Mengawal suhu badan,Memberi bentuk dan sokongan kepada badan
13,biologi,Apakah nama organ yang menghasilkan insulin?,Hati,Pankreas,Ginjal,Paru-paru,Pankreas
